Temp,OL,Time,Recipe,Ammonia,pH,sCOD,TS,VS,Coliforms,Ecoli,Enterococci,Methane
37,2.0,6,FWS12,1475,7.44,7278.27,5.75,3.72,198630,198630,92080,9.3
37,2.0,6,FWS12,1440,7.48,6923.95,5.95,3.83,188480,175980,129970,12.7
19,2.0,3,FWS13,2160,7.07,11411.90,5.68,3.53,1114130,124935,2364800,7.4
19,0.5,6,FWS13,1375,7.49,9492.75,5.53,3.31,150000,62400,2419600,16.6
55,0.5,6,FWS12,1645,8.06,10042.82,5.66,3.38,0,0,100,8.5
55,0.5,6,FWS13,1585,7.72,10454.76,5.47,3.22,0,0,200,10.3
37,3.5,3,FWS12,1805,7.12,9781.63,6.55,4.61,1309800,1259800,155310,7.8
19,2.0,3,FWS31,2005,6.98,12832.78,5.89,3.69,98040,72700,2419600,9.7
55,2.0,3,FWS31,1935,7.14,13999.40,5.89,3.60,0,0,1890,13.2
37,0.5,9,FWS31,1800,7.44,7963.99,5.16,3.17,2000,2000,770100,11.7
55,3.5,6,FWS13,1760,7.24,14090.56,6.04,3.71,100,0,100,10.3
19,0.5,6,FWS31,1565,7.45,10620.07,5.61,3.38,920800,260300,2439800,11.5
37,0.5,9,FWS13,1555,7.45,7609.51,5.20,3.22,7380,5460,209800,9.9
19,2.0,3,FWS12,1690,7.58,10604.25,6.01,3.90,34655,30395,115300,8.7
37,0.5,3,FWS31,1770,7.40,9048.76,5.42,3.37,953095,953095,241960,10.2
55,0.5,6,FWS31,1705,7.45,11744.99,5.68,3.35,0,0,0,9.4
55,2.0,3,FWS12,1680,7.82,10155.55,6.07,3.99,0,0,200,1.8
19,2.0,9,FWS12,1380,7.25,10362.64,5.77,3.77,56100,45000,1119900,2.1
55,2.0,9,FWS31,1715,7.46,12335.91,5.66,3.43,0,0,520,2.1
37,0.5,3,FWS13,1870,7.49,10005.98,4.87,3.15,770830,749165,198630,2.8
37,3.5,3,FWS31,1560,6.94,13760.09,5.97,3.95,104620000,104620000,198630,8.0
37,2.0,6,FWS31,1485,7.38,8429.45,5.56,3.47,165980,165980,1690000,7.8
37,2.0,6,FWS12,1435,7.43,7174.92,5.75,3.83,229980,229980,120330,8.4
19,2.0,9,FWS13,1645,7.17,11130.68,5.68,3.52,125900,11150,1524800,10.8
37,2.0,6,FWS13,1425,7.45,8837.21,5.68,3.40,83300,69100,980400,26.7
37,2.0,6,FWS13,1420,7.44,8481.05,5.66,3.53,35000,31300,2920000,29.3
19,0.5,6,FWS12,1555,7.47,9954.01,5.67,3.48,12000,4100,980400,32.4
55,2.0,9,FWS13,1790,7.49,12477.70,5.79,3.54,0,0,100,23.3
37,2.0,6,FWS13,1455,7.45,8688.81,5.65,3.52,41000,27900,114500,16.0
37,3.5,3,FWS13,1480,7.06,8196.23,5.69,3.78,2214800,1879800,198630,15.4
37,3.5,9,FWS13,1475,7.34,7940.36,5.07,3.31,31300,29900,1413600,17.9
55,2.0,9,FWS12,1240,7.39,13588.41,6.08,3.86,0,0,300,15.3
19,2.0,9,FWS31,1630,7.08,11272.47,5.74,3.57,1259800,243650,1309800,26.1
37,3.5,9,FWS31,1400,7.44,8791.11,5.23,3.43,9060,5560,74300,27.0
37,0.5,3,FWS12,1845,7.48,7179.18,5.75,3.57,24360,19240,81640,29.1
55,3.5,6,FWS31,1690,7.16,8681.08,6.34,4.17,100,0,100,30.2
55,3.5,6,FWS12,1895,7.49,9448.46,7.36,4.81,0,0,200,28.7
37,0.5,9,FWS12,1435,7.47,7609.51,5.42,3.27,98040,22470,30500,34.4
37,2.0,6,FWS31,1495,7.47,7955.81,5.62,3.44,160980,160980,4106000,32.0
37,3.5,9,FWS12,1510,7.27,6924.18,5.67,3.83,3310,2460,24900,33.2
55,2.0,3,FWS13,1660,7.20,10738.86,6.16,3.82,0,0,5040,7.0
19,3.5,6,FWS31,1610,6.89,7644.97,6.01,3.82,648800,235900,3590000,8.3
37,2.0,6,FWS31,1530,7.47,8163.03,5.63,3.42,155310,77010,220980,8.6
19,3.5,6,FWS13,1330,6.93,13215.00,5.96,3.83,2424800,1999800,8090000,7.3
19,3.5,6,FWS12,1760,7.26,10127.57,6.49,4.40,151500,93300,1413600,25.4
55,2.0,9,FWS31,1345,7.43,12595.86,5.67,3.41,0,0,0,23.8
37,2.0,6,FWS13,1515,7.43,8169.41,5.56,3.49,12100,9700,770100,23.5
37,3.5,9,FWS13,1510,7.42,7940.36,5.35,3.40,17300,17300,1988150,21.3
37,0.5,9,FWS31,1640,7.48,7113.24,5.09,3.12,1710,960,488400,31.3
37,0.5,3,FWS13,1860,7.47,10753.81,5.76,3.48,141360,70680,241960,31.5
37,2.0,6,FWS31,1525,7.43,8118.62,5.56,3.48,187980,159815,19863000,37.6
55,2.0,9,FWS12,1760,7.41,13044.87,6.11,3.86,0,0,300,29.7
19,3.5,6,FWS13,1375,6.90,12992.40,5.95,3.82,1986300,920800,11530000,35.3
19,2.0,9,FWS12,1820,7.32,10988.89,5.99,3.91,29500,26200,139600,32.4
37,0.5,9,FWS12,1395,7.47,7727.67,5.29,3.30,610,200,172000,32.3
19,0.5,6,FWS12,1510,7.59,7704.18,5.67,3.47,2000,1000,770100,23.6
55,2.0,3,FWS13,1360,7.23,11441.82,6.04,3.76,0,0,5980,28.8
55,2.0,3,FWS12,2035,7.82,10110.68,6.37,4.18,0,0,510,22.9
55,2.0,3,FWS31,1700,7.15,12384.08,5.87,3.59,0,0,3450,34.3
37,2.0,6,FWS31,1375,7.45,8133.42,5.62,3.50,170980,170980,310000,17.5
55,0.5,6,FWS12,1650,7.72,10013.21,5.35,3.21,0,0,100,78.3
19,2.0,9,FWS31,1685,7.08,10468.98,5.70,3.56,1309800,261300,20980000,74.7
37,3.5,3,FWS13,1785,7.01,9826.50,6.01,3.93,183995,183995,198630,85.6
55,2.0,9,FWS13,1650,7.47,11296.10,5.90,3.57,100,0,960,67.2
55,0.5,6,FWS31,1655,7.49,10901.30,5.48,3.77,0,0,100,84.7
37,2.0,6,FWS31,1405,7.35,7867.00,5.53,3.42,152480,151480,262000,81.7
37,0.5,3,FWS12,1010,7.50,8570.14,5.66,3.57,710,400,81640,94.6
37,0.5,3,FWS31,1560,7.40,8615.01,5.56,3.39,59380,50990,198630,95.0
37,2.0,6,FWS12,1405,7.54,6953.48,5.83,3.76,1600,1090,241960,60.9
37,2.0,6,FWS12,1225,7.43,7248.74,5.81,3.78,146980,146980,129970,73.6
55,3.5,6,FWS31,1780,7.24,8385.05,6.09,3.72,0,0,100,69.1
55,0.5,6,FWS13,2305,7.76,9861.83,5.56,3.27,0,0,200,69.7
37,2.0,6,FWS13,1430,7.47,6912.11,5.46,3.38,8500,4100,365400,104.3
55,3.5,6,FWS12,1680,7.57,9655.14,7.42,4.85,0,0,100,99.4
37,3.5,3,FWS31,1455,7.00,10888.42,5.91,3.82,7270000,5172000,241960,105.3
37,2.0,6,FWS12,1465,7.37,7101.11,5.63,3.59,100,100,155310,93.4
37,2.0,6,FWS13,1425,7.47,8555.25,5.51,3.34,96000,72700,6867000,98.1
37,3.5,3,FWS12,1625,7.11,10409.81,6.18,4.23,180855,159780,129970,94.5
19,2.0,3,FWS31,1755,7.00,11725.99,5.76,3.57,155310,155310,3360000,89.2
19,0.5,6,FWS31,1660,7.37,10309.24,5.56,3.31,1299700,307600,1414800,102.9
37,0.5,9,FWS13,1690,7.44,7467.72,5.24,3.20,0,0,101700,92.5
19,2.0,3,FWS12,1725,7.38,10364.94,5.98,3.91,59145,14870,178200,87.6
37,3.5,9,FWS31,1360,7.39,8720.21,5.47,3.48,48045,96090,14670000,106.1
37,3.5,9,FWS12,1395,7.28,7018.71,5.59,3.88,4260,3450,107600,101.4
19,0.5,6,FWS13,1340,7.49,9241.77,5.56,3.33,25600,15800,410600,89.2
19,2.0,3,FWS13,1925,7.05,12428.95,5.63,3.50,68930,60150,1739800,95.8
19,3.5,6,FWS31,1500,6.84,7570.97,5.96,3.76,920800,727000,424500,95.7
19,2.0,9,FWS13,1755,7.19,11957.80,5.62,3.48,152900,23100,1299700,80.7
55,3.5,6,FWS13,1720,7.21,13704.72,6.08,3.74,0,0,100,93.1
19,3.5,6,FWS12,1185,7.23,9330.35,6.48,4.37,307600,129100,135400,86.9
19,2.0,9,FWS13,1550,7.15,10327.19,5.72,3.56,178900,40400,770100,104.2
37,2.0,6,FWS31,1610,7.42,8177.83,5.62,3.43,170980,170980,130980,94.4
37,2.0,6,FWS13,1385,7.46,8748.17,5.54,3.40,410,200,3930000,94.8
37,3.5,3,FWS31,1695,6.97,11725.99,6.05,3.94,46110000,23820000,69100,93.4
55,3.5,6,FWS31,1985,7.13,8251.84,6.05,3.72,0,0,200,100.0
19,3.5,6,FWS31,1550,6.84,14091.79,6.06,3.85,980400,727000,3270000,107.1
37,0.5,9,FWS12,1640,7.45,8011.25,5.13,3.22,35500,28200,45900,89.7
37,0.5,3,FWS31,1620,7.39,9033.80,5.60,3.44,581380,532515,836000,92.5
37,2.0,6,FWS31,1495,7.45,8192.63,5.59,3.23,130980,130980,241960,92.6
37,0.5,9,FWS31,1430,7.46,7798.56,5.04,3.19,0,0,6300,94.3
19,2.0,3,FWS13,1190,7.06,13281.48,5.92,3.64,129970,47860,2419600,86.7
19,2.0,3,FWS12,1700,7.58,10619.20,6.27,4.09,13165,10640,193500,35.3
55,2.0,3,FWS12,1845,7.92,9452.59,6.09,3.89,0,0,750,71.5
19,0.5,6,FWS31,1535,7.47,10034.61,5.54,3.33,162400,13400,110600,100.3
19,2.0,3,FWS31,1650,6.98,10798.68,5.75,3.57,111990,111990,2419600,92.7
37,3.5,9,FWS31,1675,7.46,7704.04,5.42,3.50,129970,111990,9100000,76.4
37,0.5,3,FWS12,1700,7.49,8749.62,5.69,3.58,23100,22240,120330,92.5
37,3.5,9,FWS13,1585,7.40,7869.46,4.84,3.23,970,630,1413600,91.2
19,3.5,6,FWS13,1270,6.90,12962.72,6.06,3.86,1879800,1634800,7380000,70.4
55,2.0,9,FWS31,1525,7.44,12335.91,5.72,3.44,0,0,310,63.8
37,2.0,6,FWS13,1405,7.41,8347.49,5.18,3.58,12200,11000,1299700,63.6
37,0.5,9,FWS13,1370,7.50,8271.21,5.13,3.25,8650,8650,93300,63.1
55,0.5,6,FWS31,2180,7.49,10398.05,5.57,3.31,0,0,0,34.3
37,0.5,3,FWS13,1830,7.41,10185.46,5.55,3.51,129970,129970,0,39.6
55,2.0,3,FWS31,1860,7.16,14313.49,5.87,3.61,310,310,3410,19.7
37,3.5,9,FWS12,1810,7.30,6522.44,5.72,3.95,0,0,63700,45.1
19,0.5,6,FWS12,1410,7.53,10383.25,5.70,3.47,6300,4100,60900,66.9
55,0.5,6,FWS13,1470,7.72,9404.17,5.57,3.31,0,0,100,64.0
55,3.5,6,FWS12,1630,7.46,9477.99,7.41,4.88,0,0,400,67.8
55,2.0,9,FWS13,1455,7.44,12406.81,5.48,3.36,0,0,100,69.5
37,2.0,6,FWS13,1405,7.51,8021.01,5.55,3.47,13400,8500,1299700,157.0
55,0.5,6,FWS12,1650,7.70,10605.27,5.52,3.33,0,0,0,153.2
19,3.5,6,FWS12,1380,7.20,9271.30,6.67,4.48,166400,131400,238200,177.3
37,2.0,6,FWS31,1435,7.40,8814.29,5.47,3.38,220980,220980,410000,157.9
37,2.0,6,FWS12,1645,7.45,8399.85,5.84,3.51,5300,3170,198630,164.6
55,2.0,3,FWS13,1690,7.20,11546.51,6.01,3.74,0,0,3090,153.9
37,3.5,3,FWS13,1675,7.08,8525.28,5.92,3.87,155310,155310,241960,166.9
37,3.5,3,FWS12,1620,7.09,9392.76,6.31,4.41,1732900,649850,141360,188.3
55,2.0,9,FWS12,1555,7.41,13115.77,5.69,3.62,0,0,310,147.3
19,2.0,9,FWS31,1730,7.06,11367.00,5.63,3.47,1469800,563200,20980000,167.6
55,3.5,6,FWS13,1575,7.23,13979.71,6.02,3.73,100,0,500,152.9
19,0.5,6,FWS13,1370,7.48,10766.84,5.71,3.41,14500,2000,117200,158.6
19,2.0,9,FWS12,1705,7.33,10492.61,6.15,3.95,26200,18700,107600,6.2
37,2.0,6,FWS12,1620,7.52,8405.76,5.84,3.42,38730,30760,241960,5.8
37,2.0,6,FWS12,1345,7.46,8192.63,5.85,3.52,173290,155310,198630,5.6
37,0.5,3,FWS13,1110,7.51,11082.86,5.67,3.50,86640,86640,101120,4.9
55,0.5,6,FWS31,1695,7.45,11019.72,5.57,3.29,0,0,0,4.1
19,2.0,3,FWS13,1840,7.06,13251.57,5.81,3.62,484315,367920,2339800,3.4
37,2.0,6,FWS12,1375,7.40,6761.55,5.90,3.91,130980,130980,52000,4.7
19,0.5,6,FWS12,1535,7.56,10472.06,5.74,3.48,35900,29200,95900,5.4
19,3.5,6,FWS12,1315,7.24,10923.75,6.68,4.52,218700,125900,167000,3.7
55,3.5,6,FWS12,1700,7.48,8857.93,7.36,4.79,0,0,500,4.0
37,3.5,3,FWS13,1700,7.06,7493.27,5.90,4.56,8160000,4880000,96060,5.0
55,2.0,3,FWS13,1510,7.20,11501.64,6.04,3.76,0,0,3500,4.6
37,2.0,6,FWS12,1515,7.47,6687.74,5.90,3.41,43520,36540,41000,13.1
55,2.0,9,FWS31,1765,7.43,13115.77,5.65,3.42,0,0,200,6.7
19,3.5,6,FWS31,1470,6.87,8148.22,6.02,3.79,4730000,2330000,2084800,1.7
37,0.5,9,FWS13,1370,7.53,7609.51,5.05,3.19,1710,850,3000000,4.2
19,3.5,6,FWS13,1300,6.91,13155.64,6.00,3.82,2364800,1986300,5910000,1.5
37,3.5,3,FWS31,1635,7.02,11935.39,5.99,3.88,2419600,1986300,241960,2.1
37,2.0,6,FWS12,1410,7.41,6864.90,5.62,3.72,1210,1210,198630,1.8
55,0.5,6,FWS12,1645,7.68,11034.52,5.61,3.36,0,0,0,0.3
19,0.5,6,FWS13,1450,7.49,9345.12,5.67,3.40,83900,69700,186000,4.1
37,3.5,9,FWS13,1625,7.37,8247.57,5.33,3.45,25900,21600,1119900,2.7
37,0.5,3,FWS31,1170,7.41,8959.02,5.63,3.46,61310,61310,96060,5.7
19,0.5,6,FWS31,1425,7.42,10486.86,5.18,3.44,727000,27900,387300,8.0
55,2.0,3,FWS12,1660,7.89,9893.81,6.18,3.88,0,0,850,21.2
37,3.5,3,FWS12,1590,7.14,9781.63,6.44,4.40,1413600,1413600,104620,17.4
37,2.0,6,FWS13,1350,7.44,8050.69,5.49,3.21,35500,31800,1299700,19.5
55,0.5,6,FWS13,1635,7.73,9551.80,5.57,3.27,0,0,0,27.9
55,2.0,3,FWS31,1720,7.17,13775.05,5.90,3.63,0,0,2430,14.0
37,2.0,6,FWS31,1465,7.45,8140.82,5.45,3.37,152480,141480,759000,11.6
37,2.0,6,FWS31,1605,7.39,8533.06,5.56,3.36,292000,187000,228000,17.3
37,0.5,9,FWS12,1620,7.46,7444.08,5.23,3.22,0,0,34500,13.0
37,0.5,3,FWS12,865,7.53,9437.63,4.87,3.20,1660,1550,86640,14.1
19,2.0,9,FWS13,1510,7.16,10563.51,5.68,3.52,343000,31300,727000,18.8
55,2.0,9,FWS12,1595,7.40,12973.98,5.90,3.73,0,0,0,14.8
19,2.0,3,FWS31,1740,7.01,12354.17,5.61,3.51,173290,129970,3010000,14.0
55,2.0,9,FWS13,1435,7.46,12595.86,5.85,3.56,0,0,200,14.4
37,0.5,9,FWS31,1045,7.66,7704.04,5.41,3.29,163865,36970,209800,16.0
19,2.0,9,FWS12,1320,7.31,9665.49,6.03,3.91,17500,12200,69500,18.5
19,2.0,9,FWS31,1470,7.06,11343.37,5.72,3.52,309400,84200,1553100,25.3
37,3.5,9,FWS12,1710,7.29,7302.29,5.48,3.72,3180,1970,121100,4.4
37,2.0,6,FWS13,1550,7.43,8614.61,5.57,3.42,35900,29200,5475000,5.6
55,3.5,6,FWS13,1490,7.25,13482.12,6.09,3.75,0,0,300,7.6
19,2.0,3,FWS12,1665,7.55,10394.85,6.06,3.97,23385,21325,145000,8.9
37,2.0,6,FWS31,1550,7.38,8710.68,5.63,3.50,125980,125980,657000,15.3
37,2.0,6,FWS13,1535,7.43,7763.19,5.46,3.37,90600,90600,712000,12.1
37,3.5,9,FWS31,1255,7.45,7609.51,5.36,3.41,125980,104315,1986300,26.5
55,3.5,6,FWS31,1780,7.17,8725.48,6.05,3.77,0,0,300,11.7